"site","transect","plot","crown_severity","latitude","longitude"
"BP",2,"25",2.75,68.3228844089299,160.655389477611
"BP",2,"50",2.76,68.3228667997833,160.656136350189
"BP",2,"75",3,68.322831581449,160.656851440955
"CN",1,"-25",NA,68.7820030376315,161.474372595548
"CN",1,"-50",NA,68.7818317115306,161.474059782922
"CN",1,"100",1.78260869565217,68.7830390408635,161.475194441154
"CN",1,"150",1.69230769230769,68.7834726367145,161.475711017847
"CN",1,"200",1.33333333333333,68.7839094176888,161.476053753867
"CN",1,"25",NA,68.7824166007339,161.474572168663
"CN",1,"50",2.08333333333333,68.7826275732368,161.474779201671
"CN",1,"75",2,68.7828324269503,161.474987491965
"CN",2,"-35",NA,68.7880996149033,161.477324618026
"CN",2,"-60",NA,68.7881255149841,161.476685917004
"CN",2,"100",2.73684210526316,68.7877954356372,161.480949958786
"CN",2,"150",NA,68.7877333257347,161.48241511546
"CN",2,"200",2.55555555555556,68.7876344192773,161.483837608248
"CN",2,"25",NA,68.7879517581313,161.478869151324
"CN",2,"50",2.68571428571429,68.7879224214702,161.479645483195
"CN",2,"75",NA,68.7878417037427,161.480302372947
"CN",3,"-25",NA,68.7867424171417,161.497844606637
"CN",3,"-50",NA,68.7866643816232,161.49825297296
"CN",3,"100",2.30434782608696,68.7873884942382,161.495316205546
"CN",3,"150",2.91304347826087,68.7876750715076,161.494318339973
"CN",3,"200",2.76,68.7879345752298,161.49321754463
"CN",3,"25",2.07692307692308,68.7869524676352,161.496996693313
"CN",3,"50",2.66666666666667,68.7871004920452,161.496391519904
"CN",3,"75",NA,68.7872236222028,161.495944177731
"FOC",1,"-15a",NA,67.7686809841543,156.310193287208
"FOC",1,"-15b",NA,67.7684332989156,156.309836218133
"FOC",1,"100",1.35897435897436,67.7692857384681,156.308075096458
"FOC",1,"150",2.34782608695652,67.7695305738598,156.306986538693
"FOC",1,"200",2.33333333333333,67.7698230184614,156.306199226528
"FOC",1,"25",1.78947368421053,67.7688812278211,156.309490464627
"FOC",1,"50",1.57142857142857,67.7690006699413,156.309011019766
"FOC",1,"75",0.846153846153846,67.7691398933529,156.308461083099
"FOC",2,"-25",NA,67.7780715655535,156.328602628782
"FOC",2,"-50",NA,67.7780817914754,156.329064639285
"FOC",2,"100",1.16666666666667,67.7779185958206,156.325503922998
"FOC",2,"150",1.08695652173913,67.7778457570821,156.324483426287
"FOC",2,"200",1.07692307692308,67.7777592558413,156.323528978973
"FOC",2,"25",0.227272727272727,67.7780483476817,156.327221626415
"FOC",2,"50",1.56521739130435,67.7780300751328,156.326674623414
"FOC",2,"75",1.10344827586207,67.7779373712837,156.326117981225
"FRK",1,"-25",NA,61.8202447030486,130.23387842451
"FRK",1,"-50",NA,61.8201858827928,130.233482143672
"FRK",1,"100",1.53125,61.8205767634832,130.236175542915
"FRK",1,"150",NA,61.8206597339833,130.237101189033
