"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density"
"Gonzo",2,"-35",0,0,0,0,5659,5659,5659,14147,14147,0
"Gonzo",2,"100",0,0,0,796,354,1415,1415,0,0,796
"Gonzo",2,"150",0,0,0,796,0,637,637,0,0,796
"Gonzo",2,"200",0,0,0,2387,0,891,891,0,0,2387
"Gonzo",2,"25",0,0,0,35014,2122,4951,4951,0,0,35014
"Gonzo",2,"50",0,0,0,796,2122,3537,3537,0,0,796
"Gonzo",2,"75",0,0,0,4775,354,2476,2476,0,0,4775
"Gonzo",3,"-50",0,0,0,0,707,707,707,5659,5659,0
"Gonzo",3,"-75",0,0,0,0,10345,10345,10345,36606,36606,0
"Gonzo",3,"100",0,0,0,0,127,1655,1655,0,0,0
"Gonzo",3,"150",0,0,0,2387,509,1401,1401,0,0,2387
"Gonzo",3,"200",0,0,0,1592,255,891,891,0,0,1592
"Gonzo",3,"25",0,0,0,11937,0,1910,1910,0,0,11937
"Gonzo",3,"50",0,0,0,16711,0,1401,1401,0,0,16711
"Gonzo",3,"75",0,0,0,3979,255,1146,1146,0,0,3979
"HR",1,"-20",0,0,0,0,159,159,159,286,286,0
"HR",1,"-50",0,0,0,0,32,32,32,637,637,0
"HR",1,"100",0,0,0,0,95,191,191,64,64,0
"HR",1,"150",0,0,0,0,191,191,191,0,0,0
"HR",1,"200",0,0,0,0,0,0,0,0,0,0
"HR",1,"25",0,0,0,0,159,318,318,32,32,0
"HR",1,"50",0,0,0,0,95,350,350,0,0,0
"HR",1,"75",0,0,0,0,32,191,191,32,32,0
"HR",2,"-25",0,0,0,0,32,32,32,637,637,0
"HR",2,"-50",0,0,0,0,0,0,0,382,382,0
"HR",2,"100",0,0,0,0,32,32,32,127,127,0
"HR",2,"150",0,0,0,0,64,127,127,0,0,0
"HR",2,"200",0,0,0,1592,0,191,191,0,0,1592
"HR",2,"25",0,0,0,0,95,223,223,95,95,0
"HR",2,"50",0,0,0,7958,0,95,95,64,64,7958
"HR",2,"75",0,0,0,3183,127,382,382,0,0,3183
"Korova",1,"-25",0,0,0,0,0,0,0,8754,8754,0
"Korova",1,"150",7958,7958,0,6366,1989,8555,8555,0,597,22282
"Korova",1,"25",6366,6366,0,75599,1790,7361,7361,0,597,88331
"Korova",1,"75",10345,10345,0,17507,398,3979,3979,0,199,38197
"Maya",1,"-50",0,0,66845,0,0,0,0,0,0,66845
"Maya",2,"-25",0,0,0,0,764,764,764,4711,4711,0
"Maya",2,"150",3979,3979,796,3183,127,2801,2928,382,1910,11937
"Maya",2,"25",1592,1592,4775,15915,0,3183,3183,1528,2546,23874
"Maya",2,"75",796,796,0,3183,127,2674,2674,1401,1655,4775
"Maya",3,"-40",0,0,0,0,199,199,199,13329,13329,0
"Maya",3,"25",2387,2387,0,0,0,5602,5602,0,0,4774
"ROB",1,"-25",0,0,0,0,255,255,255,6621,7130,0
"ROB",1,"150",36606,36606,0,66845,1989,2984,2984,1393,1393,140057
"ROB",1,"25",110613,110613,0,45359,398,6963,6963,398,398,266585
"ROB",1,"75",11937,11937,0,3183,223,637,764,286,414,27057
"ROB",2,"-25",0,0,0,0,796,796,796,19298,19298,0
"ROB",2,"150",3979,3979,0,18303,597,2586,2586,995,2586,26261
"ROB",2,"25",0,0,0,19894,127,3056,3183,1146,1401,19894
"ROB",2,"75",11937,11937,0,7958,398,5968,5968,3382,6167,31832
"ROB",3,"-25",0,0,0,0,707,707,707,17330,21574,0
"ROB",3,"150",10345,10345,0,0,354,10257,14147,0,1415,20690
"ROB",3,"25",66845,66845,0,8754,707,10610,10610,0,2829,142444
"ROB",3,"75",55704,55704,0,796,1768,10964,12379,0,5305,112204
"Shark",1,"-25a",0,0,0,0,1146,1146,1146,3565,3565,0
"Shark",1,"-25b",0,0,0,0,2037,2037,2037,8403,8403,0
"Shark",1,"100",0,0,0,3183,2674,3183,3183,0,0,3183
"Shark",1,"25",0,0,0,1592,4966,5857,5857,0,0,1592
"Shark",1,"50",0,0,0,0,6494,6621,6621,0,0,0
"Shark",1,"75",0,0,0,3979,3438,3692,3692,0,0,3979
"Shark",2,"-25",0,0,0,0,0,0,0,605,605,0
"Shark",2,"-50",0,0,0,0,0,0,0,446,446,0
"Shark",2,"25",0,0,0,15120,4202,5348,5348,0,0,15120
"Shark",2,"50",0,0,0,1592,6366,8135,8135,0,0,1592
"Shark",3,"-25",0,0,0,0,32,32,32,446,446,0
"Shark",3,"-50",0,0,0,0,0,0,0,350,350,0
"Shark",3,"100",0,0,0,0,446,477,477,0,0,0
"Shark",3,"150",0,0,0,36606,3183,3183,3183,0,0,36606
"Shark",3,"200",0,0,0,105042,4598,4951,4951,0,0,105042
"Shark",3,"25",0,0,0,948564,2674,3183,3183,0,0,948564
"Shark",3,"300",0,0,0,3183,6013,6366,6366,0,0,3183
"Shark",3,"400",0,0,0,796,6013,7074,7074,0,0,796
"Shark",3,"50",0,0,0,190986,7427,7781,7781,0,0,190986
"Shark",3,"75",0,0,0,31035,3537,3537,3537,0,0,31035
